date,fulham_goals,opponent,opponent_goals,opponent_strength
2018-08-01,4,Norwich,0,59
2018-08-08,1,Burnley,1,54
2018-08-15,0,Brighton,1,80
2018-08-22,1,Newcastle,1,87
2018-09-01,0,Crystal Palace,2,78
2018-09-08,3,Everton,0,63
2018-09-15,6,West Ham,0,67
2018-09-22,2,Chelsea,2,57
2018-10-01,1,Chelsea,0,78
2018-10-08,1,Arsenal,1,64
2018-10-15,1,Manchester City,2,59
2018-10-22,1,Everton,1,71
2018-11-01,1,Chelsea,3,77
2018-11-08,3,Crystal Palace,3,85
2018-11-15,3,Brighton,2,58
2018-11-22,2,Liverpool,2,72
2018-12-01,1,Brighton,0,51
2018-12-08,0,Leeds,1,75
2018-12-15,2,Watford,4,56
2018-12-22,2,Aston Villa,1,52
2019-01-01,5,Brentford,3,65
2019-01-08,1,Arsenal,2,54
2019-01-15,1,Everton,1,89
2019-01-22,1,Norwich,2,75
2019-02-01,0,Watford,1,77
2019-02-08,3,Chelsea,1,79
2019-02-15,0,Brighton,1,83
2019-02-22,4,Liverpool,2,50
2019-04-01,0,Manchester United,1,85
2019-04-08,1,Brighton,3,62
2019-04-15,2,Chelsea,3,82
2019-04-22,5,Everton,2,58
2019-05-01,1,Wolves,0,74
2019-05-08,1,Brighton,0,84
2019-05-15,2,Chelsea,0,75
2019-05-22,2,Leicester City,0,83
2019-08-01,4,Leeds,0,54
2019-08-08,4,Aston Villa,3,72
2019-08-15,0,Arsenal,3,53
2019-08-22,1,Arsenal,1,67
2019-09-01,1,Norwich,1,72
2019-09-08,0,Wolves,0,76
2019-09-15,1,Leicester City,2,84
2019-09-22,1,Leicester City,0,60
2019-10-01,1,Manchester City,1,82
2019-10-08,1,Brighton,1,57
2019-10-15,0,Arsenal,0,77
2019-10-22,1,Tottenham,0,74
2019-11-01,2,Aston Villa,4,78
2019-11-08,0,Arsenal,1,61
2019-11-15,0,Burnley,2,78
2019-11-22,0,Arsenal,1,51
2019-12-01,4,Brentford,2,83
2019-12-08,0,Brentford,0,70
2019-12-15,1,Leeds,1,70
2019-12-22,3,Brighton,3,69
2020-01-01,1,Leeds,1,80
2020-01-08,0,Burnley,3,87
2020-01-15,0,Chelsea,5,61
2020-01-22,3,Newcastle,3,74
2020-02-01,1,West Ham,1,76
2020-02-08,4,Leeds,0,70
2020-02-15,1,Southampton,3,54
2020-02-22,1,Brentford,2,54
2020-03-01,2,Brentford,0,60
2020-03-08,1,Brentford,1,67
2020-03-15,1,West Ham,1,78
2020-03-22,1,Leicester City,1,51
2020-04-01,2,Brentford,0,86
2020-04-08,0,Southampton,2,62
2020-04-15,0,Manchester United,0,77
2020-04-22,0,Arsenal,0,63
2020-05-01,0,Wolves,2,59
2020-05-08,2,Tottenham,0,82
2020-05-15,1,Chelsea,2,74
2020-05-22,0,Southampton,1,61
2020-08-01,1,Chelsea,0,70
2020-08-08,2,Crystal Palace,1,85
2020-08-15,1,Chelsea,1,65
2020-08-22,2,Newcastle,1,57
2020-09-01,2,Manchester United,0,66
2020-09-08,1,Wolves,0,61
2020-09-15,0,Leicester City,1,54
2020-09-22,4,Everton,3,65
2020-10-01,1,West Ham,1,77
2020-10-08,1,Manchester City,1,76
2020-10-15,3,West Ham,3,68
2020-10-22,2,Manchester City,0,59
2020-11-01,0,Burnley,0,87
2020-11-08,2,Burnley,1,51
2020-11-15,0,Aston Villa,1,50
2020-11-22,0,Arsenal,2,67
2020-12-01,0,Brentford,1,57
2020-12-08,3,West Ham,1,51
2020-12-15,0,Tottenham,2,64
2020-12-22,0,Leicester City,1,60
2021-01-01,1,Tottenham,3,55
2021-01-08,1,Newcastle,1,58
2021-01-15,3,Manchester City,0,62
2021-01-22,1,Chelsea,2,81
2021-02-01,1,Wolves,0,57
2021-02-08,2,Norwich,1,50
2021-02-15,2,Brentford,1,87
2021-02-22,2,West Ham,1,81
2021-04-01,1,Leicester City,1,64
2021-04-08,1,Crystal Palace,0,55
2021-04-15,2,Tottenham,1,57
2021-04-22,3,Watford,1,86
2021-05-01,2,West Ham,2,61
2021-05-08,2,Aston Villa,1,55
2021-05-15,1,Crystal Palace,0,62
2021-05-22,0,Norwich,0,75
2021-08-01,2,Norwich,1,71
2021-08-08,3,Leeds,0,74
2021-08-15,1,Manchester United,1,85
2021-08-22,1,Tottenham,2,50
2021-09-01,4,Aston Villa,3,83
2021-09-08,1,Newcastle,2,74
2021-09-15,1,Arsenal,4,56
2021-09-22,1,Leeds,0,56
2021-10-01,1,Manchester United,3,61
2021-10-08,0,Aston Villa,0,89
2021-10-15,1,Everton,1,85
2021-10-22,0,Liverpool,1,64
2021-11-01,1,Norwich,0,81
2021-11-08,0,Southampton,0,75
2021-11-15,1,Leicester City,2,68
2021-11-22,2,Chelsea,2,72
2021-12-01,0,Chelsea,0,67
2021-12-08,2,Tottenham,0,62
2021-12-15,1,Everton,3,69
2021-12-22,2,Burnley,0,59
2022-01-01,0,Liverpool,0,73
2022-01-08,0,Newcastle,1,53
2022-01-15,3,Everton,0,69
2022-01-22,1,Burnley,4,66
2022-02-01,4,Chelsea,1,64
2022-02-08,2,Crystal Palace,1,56
2022-02-15,1,Newcastle,1,68
2022-02-22,3,Tottenham,0,54
2022-04-01,3,Wolves,1,54
2022-04-08,1,Southampton,0,84
2022-04-15,0,Arsenal,2,53
2022-04-22,0,Wolves,0,63
2022-05-01,1,West Ham,1,79
2022-05-08,0,Leeds,1,57
2022-05-15,1,Brentford,1,70
2022-05-22,1,Watford,2,55
